system,source_type,url_or_doi,what_it_supports
PEACH (Perioperative AI Chatbot),arXiv preprint,https://arxiv.org/abs/2412.18096,"Real-world deployment; secure LLM in perioperative context,  (methods, deployment details)"
PEACH (Perioperative AI Chatbot),Journal article (npj Digital Medicine),https://www.nature.com/articles/s41746-025-01858-x,Peer-reviewed evaluation of PEACH (impact study)
PEACH (Perioperative AI Chatbot),PubMed Central (full text),https://pmc.ncbi.nlm.nih.gov/articles/PMC12280117/,Open-access copy of the npj Digital Medicine article
Premera “Scout” (Azure Health Bot),Microsoft Transform story,https://news.microsoft.com/transform/premera-scout-chatbot-helps-with-health-care/,"Premera Scout chatbot overview (launch, purpose)"
Premera “Scout” (Azure Health Bot),Microsoft Healthcare blog,https://www.microsoft.com/en-us/industry/blog/healthcare/2019/02/25/ai-in-health-think-bigger-start-now-with-virtual-assistants/,Notes that Premera Scout is built on Microsoft Healthcare Bot
Premera “Scout” (Azure Health Bot),Azure Health Bot overview,https://azure.microsoft.com/en-us/products/bot-services/health-bot,Service capabilities and compliance context (HIPAA alignment)
NHS Digital Access Point (Sensely),Sensely NHS case study (PDF),https://sensely.com/wp-content/uploads/2021/03/NHS-Case-Study-Jan-2021.pdf,NHS Digital Access Point deployment with Sensely
Nuance DAX Copilot embedded in Epic,Nuance press release (GA in Epic),https://news.nuance.com/2024-01-18-Nuance-Announces-General-Availability-of-DAX-Copilot-Embedded-in-Epic%2C-Transforming-Healthcare-Experiences-with-Automated-Clinical-Documentation,General availability; Epic integration; secure note drafting
Nuance DAX Copilot embedded in Epic,Microsoft + Epic collaboration blog,https://blogs.microsoft.com/blog/2023/08/22/microsoft-and-epic-expand-ai-collaboration-to-accelerate-generative-ais-impact-in-healthcare-addressing-the-industrys-most-pressing-needs/,"Context on Azure OpenAI , Nuance, and Epic integrations"
Cleveland Clinic ambient AI scribe (Ambience),Cleveland Clinic newsroom,https://newsroom.clevelandclinic.org/2025/02/19/cleveland-clinic-announces-the-rollout-of-ambience-healthcares-ai-platform,Official rollout announcement
Cleveland Clinic ambient AI scribe (Ambience),Cleveland Clinic ConsultQD,https://consultqd.clevelandclinic.org/less-typing-more-talking-how-ambient-ai-is-reshaping-clinical-workflow-at-cleveland-clinic,Clinician-facing discussion of ambient AI rollout
Microsoft Health Bot + Infermedica,Infermedica–Microsoft partnership,https://infermedica.com/blog/articles/microsoft-health-bot-service-solution-that-enhances-healthcare-organization-globally,Partnership description and integration details
Microsoft Health Bot + Infermedica,Azure Health Bot GA blog,https://azure.microsoft.com/en-us/blog/microsoft-healthcare-bot-brings-conversational-ai-to-healthcare/,Service GA; positioning and use cases
